event_id,event_title,category_id,category_name,date,longitude,latitude,nearest_city_id,nearest_city_name,nearest_city_country,nearest_city_latitude,nearest_city_longitude,nearest_disaster_distance_km
EONET_19703,Wildfire in India 1028435,wildfires,Wildfires,2026-04-09,83.90196595888632,25.123771215258675,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12453.72
EONET_19743,Wildfire in Nepal 1028441,wildfires,Wildfires,2026-04-09,84.8533495070888,27.29306217587272,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12194.51
EONET_19744,Wildfire in Australia 1028465,wildfires,Wildfires,2026-04-09,125.78229622793926,-17.484984521109414,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,13081.6
EONET_19767,Wildfire in Laos 1028481,wildfires,Wildfires,2026-04-09,101.03765184027426,20.156963815545407,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12122.28
EONET_19768,Wildfire in Thailand 1028471,wildfires,Wildfires,2026-04-09,101.4152293847596,17.145450608855814,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12376.09
EONET_19784,Wildfire in Thailand 1028483,wildfires,Wildfires,2026-04-09,100.43206046789817,19.09216118570587,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12255.93
EONET_19785,Wildfire in Viet Nam 1028484,wildfires,Wildfires,2026-04-09,105.14153927644801,10.830968764623814,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,12690.43
EONET_19786,Wildfire in Thailand 1028495,wildfires,Wildfires,2026-04-09,100.56010079847658,18.11154648930147,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,12338.82
EONET_19830,Wildfire in India 1028520,wildfires,Wildfires,2026-04-09,83.60277564324704,19.930815939387013,US-SACRAMENTO,Sacramento,United States,38.5816,-121.4944,13002.24
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-09,151.5,8.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9100.51
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-10,151.2,8.2,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9133.53
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-10,151.0,8.2,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9151.05
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-10,150.9,8.1,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9166.54
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-10,151.0,8.0,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9164.51
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-11,151.5,8.5,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9087.07
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-11,151.4,8.8,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9075.68
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-11,151.1,9.0,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9088.53
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-11,151.5,9.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9033.39
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-12,151.2,9.9,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9019.44
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-12,150.6,10.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9045.11
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-12,150.2,11.1,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9026.49
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-12,149.5,11.6,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9054.03
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-13,148.9,12.2,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9066.06
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-13,148.0,12.7,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9110.65
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-13,147.4,13.1,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9135.75
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-13,147.0,13.7,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9130.06
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-14,146.5,14.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9132.88
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-14,146.0,14.6,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9155.69
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-14,145.8,14.9,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9152.7
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-14,145.4,15.2,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9166.78
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-15,145.2,15.6,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9156.99
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-15,144.9,16.0,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9155.69
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-15,144.6,16.2,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9167.77
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-15,144.5,16.7,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9142.64
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-16,144.4,17.1,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9124.24
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-16,144.5,17.7,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9075.51
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-16,144.8,18.4,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,9003.34
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-16,145.0,19.0,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8946.46
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-17,145.4,19.5,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8879.56
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-17,145.8,20.0,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8812.81
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-17,146.2,20.8,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8726.5
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-17,146.5,21.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8668.56
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-18,146.4,22.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8611.52
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-18,146.8,23.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8513.22
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-18,147.5,24.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8390.71
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-18,148.5,25.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8244.25
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-19,149.5,26.5,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,8086.27
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-19,151.4,27.6,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,7861.87
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-19,153.7,28.3,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,7629.89
EONET_19481,Super Typhoon Sinlaku,severeStorms,Severe Storms,2026-04-19,156.1,28.7,US-SAN_FRANCISCO,San Francisco,United States,37.7749,-122.4194,7407.46
EONET_19405,"rx-Northern Scupp EWO Prescribed Fire, Waukesha, Wisconsin",wildfires,Wildfires,2026-04-09,-88.483243,42.9227232,US-DALLAS,Dallas,United States,32.7767,-96.797,1342.15
EONET_19412,"HARRISON Wildfire, Osage, Oklahoma",wildfires,Wildfires,2026-04-09,-96.849207,36.568752,US-DALLAS,Dallas,United States,32.7767,-96.797,421.68
EONET_19414,"JOY Wildfire, Osage, Oklahoma",wildfires,Wildfires,2026-04-09,-96.232358,36.471122,US-DALLAS,Dallas,United States,32.7767,-96.797,414.03
EONET_19585,"DeSoto BB 8301 C-214 RX Prescribed Fire, Perry, Mississippi",wildfires,Wildfires,2026-04-09,-88.866111,30.974167,US-NEW_ORLEANS,New Orleans,United States,29.9511,-90.0715,162.14
